subject,sensor_id,hrs_to_calving,mi,steps,standing_time,lying_time,standing_change,lying_bouts,activity_index
112BL,BL,-23,265,92,3511,89,1,1,94
112BL,BL,-22,253,90,2444,1156,1,0,0
112BL,BL,-21,323,107,3600,0,1,1,107
112BL,BL,-20,145,51,1705,1895,1,0,0
112BL,BL,-19,195,60,3078,522,1,1,70
112BL,BL,-18,79,23,566,3034,1,0,0
112BL,BL,-17,36,5,1812,1788,2,1,10
112BL,BL,-16,223,55,2707,893,0,0,0
112BL,BL,-15,53,10,1393,2207,3,2,103
112BL,BL,-14,77,22,1770,1830,1,0,0
112BL,BL,-13,117,37,2340,1260,2,1,57
112BL,BL,-12,210,58,3600,0,2,1,58
112BL,BL,-11,109,29,3594,6,0,0,0
112BL,BL,-10,209,57,3600,0,0,0,0
112BL,BL,-9,104,19,2978,622,3,2,92
112BL,BL,-8,123,41,2157,1443,1,0,0
112BL,BL,-7,122,30,3129,471,1,1,35
112BL,BL,-6,218,66,2509,1091,1,0,0
112BL,BL,-5,224,68,2954,646,3,2,331
112BL,BL,-4,197,51,1400,2200,5,2,525
112BL,BL,-3,274,76,2685,915,5,3,917
112BL,BL,-2,225,49,1620,1980,9,4,1742
112BL,BL,-1,156,12,3367,233,2,1,13
112BL,BL,0,209,37,2983,617,0,0,0
112BL,BL,1,269,71,3285,315,4,2,311
112BR,BR,-23,306,97,3600,0,0,0,0
112BR,BR,-22,270,83,3600,0,0,0,0
112BR,BR,-21,330,112,3600,0,0,0,0
112BR,BR,-20,160,53,3600,0,0,0,0
112BR,BR,-19,236,74,3600,0,0,0,0
112BR,BR,-18,69,20,3600,0,0,0,0
112BR,BR,-17,37,6,3600,0,0,0,0
112BR,BR,-16,212,69,3600,0,0,0,0
112BR,BR,-15,47,9,3600,0,0,0,0
112BR,BR,-14,80,28,3600,0,0,0,0
112BR,BR,-13,138,25,3600,0,0,0,0
112BR,BR,-12,235,49,3600,0,2,1,49
112BR,BR,-11,117,29,3359,241,0,0,0
112BR,BR,-10,257,53,3600,0,0,0,0
112BR,BR,-9,121,20,3600,0,0,0,0
112BR,BR,-8,139,40,3600,0,0,0,0
112BR,BR,-7,152,38,3600,0,0,0,0
112BR,BR,-6,257,78,3600,0,0,0,0
112BR,BR,-5,186,56,3600,0,0,0,0
112BR,BR,-4,184,54,3059,541,4,2,254
112BR,BR,-3,276,55,1853,1747,9,5,2671
112BR,BR,-2,185,37,1492,2108,7,3,803
112BR,BR,-1,129,12,3336,264,2,1,13
112BR,BR,0,174,21,3015,585,1,1,25
112BR,BR,1,264,72,1581,2019,5,2,656
112FL,FL,-23,362,109,2792,808,2,1,141
112FL,FL,-22,276,90,3160,440,0,0,0
112FL,FL,-21,330,109,3220,380,1,1,122
112FL,FL,-20,270,92,2081,1519,1,0,0
112FL,FL,-19,167,54,2359,1241,1,1,82
