,subject,sensor_id,hrs_to_calving,variables,value
0,112BL,BL,-61,mi,0
1,112BL,BL,-60,mi,54
2,112BL,BL,-59,mi,33
3,112BL,BL,-58,mi,19
4,112BL,BL,-57,mi,7
5,112BL,BL,-56,mi,21
6,112BL,BL,-55,mi,93
7,112BL,BL,-54,mi,70
8,112BL,BL,-53,mi,158
9,112BL,BL,-52,mi,239
10,112BL,BL,-51,mi,35
11,112BL,BL,-50,mi,9
12,112BL,BL,-49,mi,110
13,112BL,BL,-48,mi,104
14,112BL,BL,-47,mi,134
15,112BL,BL,-46,mi,52
16,112BL,BL,-45,mi,116
17,112BL,BL,-44,mi,0
18,112BL,BL,-43,mi,34
19,112BL,BL,-42,mi,255
20,112BL,BL,-41,mi,84
21,112BL,BL,-40,mi,53
22,112BL,BL,-39,mi,0
23,112BL,BL,-38,mi,81
24,112BL,BL,-37,mi,34
25,112BL,BL,-36,mi,38
26,112BL,BL,-35,mi,0
27,112BL,BL,-34,mi,214
28,112BL,BL,-33,mi,0
29,112BL,BL,-32,mi,48
30,112BL,BL,-31,mi,195
31,112BL,BL,-30,mi,85
32,112BL,BL,-29,mi,628
33,112BL,BL,-28,mi,308
34,112BL,BL,-27,mi,345
35,112BL,BL,-26,mi,390
36,112BL,BL,-25,mi,250
37,112BL,BL,-24,mi,266
38,112BL,BL,-23,mi,265
39,112BL,BL,-22,mi,253
40,112BL,BL,-21,mi,323
41,112BL,BL,-20,mi,145
42,112BL,BL,-19,mi,195
43,112BL,BL,-18,mi,79
44,112BL,BL,-17,mi,36
45,112BL,BL,-16,mi,223
46,112BL,BL,-15,mi,53
47,112BL,BL,-14,mi,77
48,112BL,BL,-13,mi,117
49,112BL,BL,-12,mi,210
50,112BL,BL,-11,mi,109
51,112BL,BL,-10,mi,209
52,112BL,BL,-9,mi,104
53,112BL,BL,-8,mi,123
54,112BL,BL,-7,mi,122
55,112BL,BL,-6,mi,218
56,112BL,BL,-5,mi,224
57,112BL,BL,-4,mi,197
58,112BL,BL,-3,mi,274
59,112BL,BL,-2,mi,225
60,112BL,BL,-1,mi,156
61,112BL,BL,0,mi,209
62,112BL,BL,1,mi,269
63,112BL,BL,2,mi,1552
64,112BL,BL,3,mi,59
65,112BL,BL,4,mi,206
